Entidad,B6-A-Totalmente de acuerdo-Recuento,B6-A-Totalmente de acuerdo-% del N de fila,B6-A-Totalmente de acuerdo-% de N columnas,B6-A-De acuerdo-Recuento,B6-A-De acuerdo-% del N de fila,B6-A-De acuerdo-% de N columnas,B6-A-En desacuerdo-Recuento,B6-A-En desacuerdo-% del N de fila,B6-A-En desacuerdo-% de N columnas,B6-A-Totalmente en desacuerdo-Recuento,B6-A-Totalmente en desacuerdo-% del N de fila,B6-A-Totalmente en desacuerdo-% de N columnas,B6-A-No sé o no estoy seguro-Recuento,B6-A-No sé o no estoy seguro-% del N de fila,B6-A-No sé o no estoy seguro-% de N columnas,B6-B-Totalmente de acuerdo-Recuento,B6-B-Totalmente de acuerdo-% del N de fila,B6-B-Totalmente de acuerdo-% de N columnas,B6-B-De acuerdo-Recuento,B6-B-De acuerdo-% del N de fila,B6-B-De acuerdo-% de N columnas,B6-B-En desacuerdo-Recuento,B6-B-En desacuerdo-% del N de fila,B6-B-En desacuerdo-% de N columnas,B6-B-Totalmente en desacuerdo-Recuento,B6-B-Totalmente en desacuerdo-% del N de fila,B6-B-Totalmente en desacuerdo-% de N columnas,B6-B-No sé o no estoy seguro-Recuento,B6-B-No sé o no estoy seguro-% del N de fila,B6-B-No sé o no estoy seguro-% de N columnas,B6-C-Totalmente de acuerdo-Recuento,B6-C-Totalmente de acuerdo-% del N de fila,B6-C-Totalmente de acuerdo-% de N columnas,B6-C-De acuerdo-Recuento,B6-C-De acuerdo-% del N de fila,B6-C-De acuerdo-% de N columnas,B6-C-En desacuerdo-Recuento,B6-C-En desacuerdo-% del N de fila,B6-C-En desacuerdo-% de N columnas,B6-C-Totalmente en desacuerdo-Recuento,B6-C-Totalmente en desacuerdo-% del N de fila,B6-C-Totalmente en desacuerdo-% de N columnas,B6-C-No sé o no estoy seguro-Recuento,B6-C-No sé o no estoy seguro-% del N de fila,B6-C-No sé o no estoy seguro-% de N columnas,B6-D-Totalmente de acuerdo-Recuento,B6-D-Totalmente de acuerdo-% del N de fila,B6-D-Totalmente de acuerdo-% de N columnas,B6-D-De acuerdo-Recuento,B6-D-De acuerdo-% del N de fila,B6-D-De acuerdo-% de N columnas,B6-D-En desacuerdo-Recuento,B6-D-En desacuerdo-% del N de fila,B6-D-En desacuerdo-% de N columnas,B6-D-Totalmente en desacuerdo-Recuento,B6-D-Totalmente en desacuerdo-% del N de fila,B6-D-Totalmente en desacuerdo-% de N columnas,B6-D-No sé o no estoy seguro-Recuento,B6-D-No sé o no estoy seguro-% del N de fila,B6-D-No sé o no estoy seguro-% de N columnas,B6-E-Totalmente de acuerdo-Recuento,B6-E-Totalmente de acuerdo-% del N de fila,B6-E-Totalmente de acuerdo-% de N columnas,B6-E-De acuerdo-Recuento,B6-E-De acuerdo-% del N de fila,B6-E-De acuerdo-% de N columnas,B6-E-En desacuerdo-Recuento,B6-E-En desacuerdo-% del N de fila,B6-E-En desacuerdo-% de N columnas,B6-E-Totalmente en desacuerdo-Recuento,B6-E-Totalmente en desacuerdo-% del N de fila,B6-E-Totalmente en desacuerdo-% de N columnas,B6-E-No sé o no estoy seguro-Recuento,B6-E-No sé o no estoy seguro-% del N de fila,B6-E-No sé o no estoy seguro-% de N columnas,B6-F-Totalmente de acuerdo-Recuento,B6-F-Totalmente de acuerdo-% del N de fila,B6-F-Totalmente de acuerdo-% de N columnas,B6-F-De acuerdo-Recuento,B6-F-De acuerdo-% del N de fila,B6-F-De acuerdo-% de N columnas,B6-F-En desacuerdo-Recuento,B6-F-En desacuerdo-% del N de fila,B6-F-En desacuerdo-% de N columnas,B6-F-Totalmente en desacuerdo-Recuento,B6-F-Totalmente en desacuerdo-% del N de fila,B6-F-Totalmente en desacuerdo-% de N columnas,B6-F-No sé o no estoy seguro-Recuento,B6-F-No sé o no estoy seguro-% del N de fila,B6-F-No sé o no estoy seguro-% de N columnas,B6-G-Totalmente de acuerdo-Recuento,B6-G-Totalmente de acuerdo-% del N de fila,B6-G-Totalmente de acuerdo-% de N columnas,B6-G-De acuerdo-Recuento,B6-G-De acuerdo-% del N de fila,B6-G-De acuerdo-% de N columnas,B6-G-En desacuerdo-Recuento,B6-G-En desacuerdo-% del N de fila,B6-G-En desacuerdo-% de N columnas,B6-G-Totalmente en desacuerdo-Recuento,B6-G-Totalmente en desacuerdo-% del N de fila,B6-G-Totalmente en desacuerdo-% de N columnas,B6-G-No sé o no estoy seguro-Recuento,B6-G-No sé o no estoy seguro-% del N de fila,B6-G-No sé o no estoy seguro-% de N columnas,B6-H-Totalmente de acuerdo-Recuento,B6-H-Totalmente de acuerdo-% del N de fila,B6-H-Totalmente de acuerdo-% de N columnas,B6-H-De acuerdo-Recuento,B6-H-De acuerdo-% del N de fila,B6-H-De acuerdo-% de N columnas,B6-H-En desacuerdo-Recuento,B6-H-En desacuerdo-% del N de fila,B6-H-En desacuerdo-% de N columnas,B6-H-Totalmente en desacuerdo-Recuento,B6-H-Totalmente en desacuerdo-% del N de fila,B6-H-Totalmente en desacuerdo-% de N columnas,B6-H-No sé o no estoy seguro-Recuento,B6-H-No sé o no estoy seguro-% del N de fila,B6-H-No sé o no estoy seguro-% de N columnas,B6-I-Totalmente de acuerdo-Recuento,B6-I-Totalmente de acuerdo-% del N de fila,B6-I-Totalmente de acuerdo-% de N columnas,B6-I-De acuerdo-Recuento,B6-I-De acuerdo-% del N de fila,B6-I-De acuerdo-% de N columnas,B6-I-En desacuerdo-Recuento,B6-I-En desacuerdo-% del N de fila,B6-I-En desacuerdo-% de N columnas,B6-I-Totalmente en desacuerdo-Recuento,B6-I-Totalmente en desacuerdo-% del N de fila,B6-I-Totalmente en desacuerdo-% de N columnas,B6-I-No sé o no estoy seguro-Recuento,B6-I-No sé o no estoy seguro-% del N de fila,B6-I-No sé o no estoy seguro-% de N columnas
AGUASCALIENTES,61.000,0.335,0.051,108.000,0.593,0.042,10.000,0.055,0.034,0.000,0.000,0.000,3.000,0.016,0.016,89.000,0.489,0.049,86.000,0.473,0.038,3.000,0.016,0.022,0.000,0.000,0.000,4.000,0.022,0.089,107.000,0.588,0.050,68.000,0.374,0.035,3.000,0.016,0.028,1.000,0.005,0.067,3.000,0.016,0.130,117.000,0.643,0.050,61.000,0.335,0.034,0.000,0.000,0.000,1.000,0.005,0.091,3.000,0.016,0.158,86.000,0.473,0.050,88.000,0.484,0.038,3.000,0.016,0.030,0.000,0.000,0.000,5.000,0.027,0.040,87.000,0.478,0.056,83.000,0.456,0.038,8.000,0.044,0.023,1.000,0.005,0.017,3.000,0.016,0.030,110.000,0.604,0.052,65.000,0.357,0.033,4.000,0.022,0.031,1.000,0.005,0.037,2.000,0.011,0.067,103.000,0.566,0.051,73.000,0.401,0.036,3.000,0.016,0.024,2.000,0.011,0.182,1.000,0.005,0.016,84.000,0.462,0.052,87.000,0.478,0.038,7.000,0.038,0.031,2.000,0.011,0.083,2.000,0.011,0.015
BAJA CALIFORNIA,8.000,0.182,0.007,27.000,0.614,0.011,4.000,0.091,0.014,0.000,0.000,0.000,5.000,0.114,0.026,14.000,0.318,0.008,28.000,0.636,0.013,1.000,0.023,0.007,0.000,0.000,0.000,1.000,0.023,0.022,16.000,0.364,0.007,27.000,0.614,0.014,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.023,0.043,22.000,0.500,0.009,21.000,0.477,0.012,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.023,0.053,15.000,0.341,0.009,27.000,0.614,0.012,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.045,0.016,18.000,0.409,0.012,20.000,0.455,0.009,2.000,0.045,0.006,1.000,0.023,0.017,3.000,0.068,0.030,22.000,0.500,0.010,20.000,0.455,0.010,0.000,0.000,0.000,1.000,0.023,0.037,1.000,0.023,0.033,20.000,0.455,0.010,21.000,0.477,0.010,1.000,0.023,0.008,0.000,0.000,0.000,2.000,0.045,0.033,14.000,0.318,0.009,25.000,0.568,0.011,2.000,0.045,0.009,0.000,0.000,0.000,3.000,0.068,0.022
BAJA CALIFORNIA SUR,57.000,0.310,0.048,102.000,0.554,0.040,12.000,0.065,0.041,2.000,0.011,0.087,11.000,0.060,0.058,98.000,0.533,0.054,78.000,0.424,0.035,5.000,0.027,0.037,1.000,0.005,0.063,2.000,0.011,0.044,102.000,0.554,0.048,75.000,0.408,0.038,6.000,0.033,0.057,1.000,0.005,0.067,0.000,0.000,0.000,111.000,0.603,0.047,69.000,0.375,0.038,2.000,0.011,0.036,1.000,0.005,0.091,1.000,0.005,0.053,83.000,0.451,0.048,89.000,0.484,0.039,3.000,0.016,0.030,1.000,0.005,0.091,8.000,0.043,0.065,84.000,0.457,0.054,74.000,0.402,0.034,15.000,0.082,0.043,3.000,0.016,0.052,8.000,0.043,0.080,98.000,0.533,0.047,80.000,0.435,0.041,3.000,0.016,0.024,2.000,0.011,0.074,1.000,0.005,0.033,111.000,0.603,0.055,67.000,0.364,0.033,3.000,0.016,0.024,0.000,0.000,0.000,3.000,0.016,0.049,80.000,0.435,0.050,87.000,0.473,0.038,10.000,0.054,0.045,0.000,0.000,0.000,7.000,0.038,0.052
CAMPECHE,37.000,0.319,0.031,67.000,0.578,0.026,8.000,0.069,0.027,1.000,0.009,0.043,3.000,0.026,0.016,41.000,0.353,0.023,68.000,0.586,0.030,5.000,0.043,0.037,0.000,0.000,0.000,2.000,0.017,0.044,52.000,0.448,0.024,61.000,0.526,0.031,3.000,0.026,0.028,0.000,0.000,0.000,0.000,0.000,0.000,58.000,0.500,0.025,57.000,0.491,0.031,1.000,0.009,0.018,0.000,0.000,0.000,0.000,0.000,0.000,44.000,0.379,0.026,63.000,0.543,0.027,4.000,0.034,0.040,1.000,0.009,0.091,4.000,0.034,0.032,44.000,0.379,0.028,56.000,0.483,0.026,12.000,0.103,0.034,2.000,0.017,0.034,2.000,0.017,0.020,51.000,0.440,0.024,61.000,0.526,0.031,3.000,0.026,0.024,1.000,0.009,0.037,0.000,0.000,0.000,54.000,0.466,0.027,56.000,0.483,0.028,3.000,0.026,0.024,1.000,0.009,0.091,2.000,0.017,0.033,42.000,0.362,0.026,66.000,0.569,0.029,5.000,0.043,0.022,1.000,0.009,0.042,2.000,0.017,0.015
CHIAPAS,13.000,0.167,0.011,58.000,0.744,0.023,6.000,0.077,0.020,0.000,0.000,0.000,1.000,0.013,0.005,23.000,0.295,0.013,52.000,0.667,0.023,1.000,0.013,0.007,1.000,0.013,0.063,1.000,0.013,0.022,31.000,0.397,0.014,45.000,0.577,0.023,0.000,0.000,0.000,1.000,0.013,0.067,1.000,0.013,0.043,32.000,0.410,0.014,43.000,0.551,0.024,2.000,0.026,0.036,1.000,0.013,0.091,0.000,0.000,0.000,20.000,0.256,0.012,52.000,0.667,0.023,2.000,0.026,0.020,0.000,0.000,0.000,4.000,0.051,0.032,21.000,0.269,0.014,53.000,0.679,0.024,1.000,0.013,0.003,1.000,0.013,0.017,2.000,0.026,0.020,28.000,0.359,0.013,46.000,0.590,0.023,1.000,0.013,0.008,1.000,0.013,0.037,2.000,0.026,0.067,31.000,0.397,0.015,40.000,0.513,0.020,2.000,0.026,0.016,1.000,0.013,0.091,4.000,0.051,0.066,18.000,0.231,0.011,54.000,0.692,0.024,1.000,0.013,0.004,3.000,0.038,0.125,2.000,0.026,0.015
CHIHUAHUA,36.000,0.200,0.030,117.000,0.650,0.046,12.000,0.067,0.041,2.000,0.011,0.087,13.000,0.072,0.069,58.000,0.322,0.032,111.000,0.617,0.050,8.000,0.044,0.060,1.000,0.006,0.063,2.000,0.011,0.044,79.000,0.439,0.037,90.000,0.500,0.046,8.000,0.044,0.075,1.000,0.006,0.067,2.000,0.011,0.087,89.000,0.494,0.038,86.000,0.478,0.047,3.000,0.017,0.054,0.000,0.000,0.000,2.000,0.011,0.105,52.000,0.289,0.030,115.000,0.639,0.050,5.000,0.028,0.050,0.000,0.000,0.000,8.000,0.044,0.065,64.000,0.356,0.041,92.000,0.511,0.042,15.000,0.083,0.043,2.000,0.011,0.034,7.000,0.039,0.070,86.000,0.478,0.041,82.000,0.456,0.042,9.000,0.050,0.071,0.000,0.000,0.000,3.000,0.017,0.100,80.000,0.444,0.040,93.000,0.517,0.046,4.000,0.022,0.031,0.000,0.000,0.000,3.000,0.017,0.049,56.000,0.311,0.035,106.000,0.589,0.047,9.000,0.050,0.040,1.000,0.006,0.042,8.000,0.044,0.060
CIUDAD DE MÉXICO,46.000,0.271,0.039,100.000,0.588,0.039,14.000,0.082,0.047,0.000,0.000,0.000,10.000,0.059,0.053,76.000,0.447,0.042,86.000,0.506,0.038,5.000,0.029,0.037,0.000,0.000,0.000,3.000,0.018,0.067,91.000,0.535,0.043,76.000,0.447,0.039,3.000,0.018,0.028,0.000,0.000,0.000,0.000,0.000,0.000,102.000,0.600,0.043,65.000,0.382,0.036,3.000,0.018,0.054,0.000,0.000,0.000,0.000,0.000,0.000,69.000,0.406,0.040,90.000,0.529,0.039,3.000,0.018,0.030,0.000,0.000,0.000,8.000,0.047,0.065,56.000,0.329,0.036,83.000,0.488,0.038,21.000,0.124,0.060,7.000,0.041,0.121,3.000,0.018,0.030,84.000,0.494,0.040,75.000,0.441,0.038,6.000,0.035,0.047,2.000,0.012,0.074,3.000,0.018,0.100,77.000,0.453,0.038,79.000,0.465,0.039,10.000,0.059,0.079,0.000,0.000,0.000,4.000,0.024,0.066,67.000,0.394,0.042,84.000,0.494,0.037,9.000,0.053,0.040,0.000,0.000,0.000,10.000,0.059,0.075
COAHUILA,33.000,0.384,0.028,41.000,0.477,0.016,6.000,0.070,0.020,2.000,0.023,0.087,4.000,0.047,0.021,40.000,0.465,0.022,40.000,0.465,0.018,3.000,0.035,0.022,2.000,0.023,0.125,1.000,0.012,0.022,45.000,0.523,0.021,34.000,0.395,0.017,4.000,0.047,0.038,2.000,0.023,0.133,1.000,0.012,0.043,50.000,0.581,0.021,35.000,0.407,0.019,0.000,0.000,0.000,1.000,0.012,0.091,0.000,0.000,0.000,40.000,0.465,0.023,42.000,0.488,0.018,3.000,0.035,0.030,0.000,0.000,0.000,1.000,0.012,0.008,32.000,0.372,0.021,39.000,0.453,0.018,11.000,0.128,0.032,3.000,0.035,0.052,1.000,0.012,0.010,44.000,0.512,0.021,38.000,0.442,0.019,3.000,0.035,0.024,0.000,0.000,0.000,1.000,0.012,0.033,46.000,0.535,0.023,36.000,0.419,0.018,3.000,0.035,0.024,0.000,0.000,0.000,1.000,0.012,0.016,40.000,0.465,0.025,36.000,0.419,0.016,5.000,0.058,0.022,1.000,0.012,0.042,4.000,0.047,0.030
COLIMA,51.000,0.321,0.043,84.000,0.528,0.033,11.000,0.069,0.037,1.000,0.006,0.043,12.000,0.075,0.063,78.000,0.491,0.043,75.000,0.472,0.034,4.000,0.025,0.030,0.000,0.000,0.000,2.000,0.013,0.044,92.000,0.579,0.043,66.000,0.415,0.034,1.000,0.006,0.009,0.000,0.000,0.000,0.000,0.000,0.000,104.000,0.654,0.044,53.000,0.333,0.029,2.000,0.013,0.036,0.000,0.000,0.000,0.000,0.000,0.000,82.000,0.516,0.048,70.000,0.440,0.031,4.000,0.025,0.040,0.000,0.000,0.000,3.000,0.019,0.024,64.000,0.403,0.041,71.000,0.447,0.032,17.000,0.107,0.049,2.000,0.013,0.034,5.000,0.031,0.050,90.000,0.566,0.043,59.000,0.371,0.030,7.000,0.044,0.055,2.000,0.013,0.074,1.000,0.006,0.033,87.000,0.547,0.043,68.000,0.428,0.033,1.000,0.006,0.008,0.000,0.000,0.000,3.000,0.019,0.049,66.000,0.415,0.041,75.000,0.472,0.033,9.000,0.057,0.040,0.000,0.000,0.000,9.000,0.057,0.067
DURANGO,46.000,0.284,0.039,91.000,0.562,0.036,19.000,0.117,0.064,0.000,0.000,0.000,6.000,0.037,0.032,66.000,0.407,0.036,89.000,0.549,0.040,2.000,0.012,0.015,2.000,0.012,0.125,3.000,0.019,0.067,78.000,0.481,0.036,75.000,0.463,0.038,6.000,0.037,0.057,2.000,0.012,0.133,1.000,0.006,0.043,99.000,0.611,0.042,59.000,0.364,0.033,2.000,0.012,0.036,1.000,0.006,0.091,1.000,0.006,0.053,69.000,0.426,0.040,81.000,0.500,0.035,4.000,0.025,0.040,2.000,0.012,0.182,6.000,0.037,0.048,67.000,0.414,0.043,85.000,0.525,0.039,8.000,0.049,0.023,1.000,0.006,0.017,1.000,0.006,0.010,90.000,0.556,0.043,67.000,0.414,0.034,5.000,0.031,0.039,0.000,0.000,0.000,0.000,0.000,0.000,80.000,0.494,0.040,75.000,0.463,0.037,4.000,0.025,0.031,0.000,0.000,0.000,3.000,0.019,0.049,64.000,0.395,0.040,77.000,0.475,0.034,13.000,0.080,0.058,0.000,0.000,0.000,8.000,0.049,0.060
ESTADO DE MÉXICO,35.000,0.217,0.029,112.000,0.696,0.044,10.000,0.062,0.034,1.000,0.006,0.043,3.000,0.019,0.016,68.000,0.422,0.037,89.000,0.553,0.040,4.000,0.025,0.030,0.000,0.000,0.000,0.000,0.000,0.000,77.000,0.478,0.036,79.000,0.491,0.040,4.000,0.025,0.038,0.000,0.000,0.000,1.000,0.006,0.043,88.000,0.547,0.037,73.000,0.453,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.000,0.373,0.035,95.000,0.590,0.041,6.000,0.037,0.059,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.311,0.032,95.000,0.590,0.043,12.000,0.075,0.034,3.000,0.019,0.052,1.000,0.006,0.010,72.000,0.447,0.034,83.000,0.516,0.042,3.000,0.019,0.024,2.000,0.012,0.074,1.000,0.006,0.033,58.000,0.360,0.029,94.000,0.584,0.046,9.000,0.056,0.071,0.000,0.000,0.000,0.000,0.000,0.000,44.000,0.273,0.027,107.000,0.665,0.047,10.000,0.062,0.045,0.000,0.000,0.000,0.000,0.000,0.000
GUANAJUATO,41.000,0.244,0.034,102.000,0.607,0.040,17.000,0.101,0.058,0.000,0.000,0.000,8.000,0.048,0.042,78.000,0.464,0.043,86.000,0.512,0.038,4.000,0.024,0.030,0.000,0.000,0.000,0.000,0.000,0.000,94.000,0.560,0.044,71.000,0.423,0.036,3.000,0.018,0.028,0.000,0.000,0.000,0.000,0.000,0.000,102.000,0.607,0.043,64.000,0.381,0.035,2.000,0.012,0.036,0.000,0.000,0.000,0.000,0.000,0.000,84.000,0.500,0.049,75.000,0.446,0.033,5.000,0.030,0.050,0.000,0.000,0.000,4.000,0.024,0.032,60.000,0.357,0.039,86.000,0.512,0.039,11.000,0.065,0.032,4.000,0.024,0.069,7.000,0.042,0.070,83.000,0.494,0.040,76.000,0.452,0.039,6.000,0.036,0.047,3.000,0.018,0.111,0.000,0.000,0.000,75.000,0.446,0.037,83.000,0.494,0.041,6.000,0.036,0.047,2.000,0.012,0.182,2.000,0.012,0.033,64.000,0.381,0.040,78.000,0.464,0.034,23.000,0.137,0.103,2.000,0.012,0.083,1.000,0.006,0.007
GUERRERO,19.000,0.452,0.016,22.000,0.524,0.009,1.000,0.024,0.003,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.476,0.011,21.000,0.500,0.009,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.024,0.022,22.000,0.524,0.010,19.000,0.452,0.010,1.000,0.024,0.009,0.000,0.000,0.000,0.000,0.000,0.000,25.000,0.595,0.011,17.000,0.405,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.000,0.333,0.008,27.000,0.643,0.012,1.000,0.024,0.010,0.000,0.000,0.000,0.000,0.000,0.000,19.000,0.452,0.012,22.000,0.524,0.010,1.000,0.024,0.003,0.000,0.000,0.000,0.000,0.000,0.000,25.000,0.595,0.012,17.000,0.405,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.476,0.010,21.000,0.500,0.010,1.000,0.024,0.008,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.381,0.010,22.000,0.524,0.010,3.000,0.071,0.013,0.000,0.000,0.000,1.000,0.024,0.007
HIDALGO,52.000,0.335,0.044,89.000,0.574,0.035,7.000,0.045,0.024,2.000,0.013,0.087,5.000,0.032,0.026,74.000,0.477,0.041,75.000,0.484,0.034,4.000,0.026,0.030,0.000,0.000,0.000,2.000,0.013,0.044,88.000,0.568,0.041,62.000,0.400,0.032,5.000,0.032,0.047,0.000,0.000,0.000,0.000,0.000,0.000,92.000,0.594,0.039,61.000,0.394,0.034,2.000,0.013,0.036,0.000,0.000,0.000,0.000,0.000,0.000,72.000,0.465,0.042,79.000,0.510,0.034,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.026,0.032,66.000,0.426,0.043,66.000,0.426,0.030,14.000,0.090,0.040,4.000,0.026,0.069,5.000,0.032,0.050,84.000,0.542,0.040,63.000,0.406,0.032,7.000,0.045,0.055,1.000,0.006,0.037,0.000,0.000,0.000,75.000,0.484,0.037,71.000,0.458,0.035,7.000,0.045,0.055,0.000,0.000,0.000,2.000,0.013,0.033,73.000,0.471,0.046,65.000,0.419,0.029,13.000,0.084,0.058,0.000,0.000,0.000,4.000,0.026,0.030
JALISCO,39.000,0.289,0.033,79.000,0.585,0.031,11.000,0.081,0.037,1.000,0.007,0.043,5.000,0.037,0.026,63.000,0.467,0.035,61.000,0.452,0.027,9.000,0.067,0.067,1.000,0.007,0.063,1.000,0.007,0.022,69.000,0.511,0.032,59.000,0.437,0.030,6.000,0.044,0.057,1.000,0.007,0.067,0.000,0.000,0.000,72.000,0.533,0.031,56.000,0.415,0.031,6.000,0.044,0.107,0.000,0.000,0.000,1.000,0.007,0.053,56.000,0.415,0.032,70.000,0.519,0.031,3.000,0.022,0.030,1.000,0.007,0.091,5.000,0.037,0.040,59.000,0.437,0.038,65.000,0.481,0.030,9.000,0.067,0.026,1.000,0.007,0.017,1.000,0.007,0.010,76.000,0.563,0.036,52.000,0.385,0.026,5.000,0.037,0.039,1.000,0.007,0.037,1.000,0.007,0.033,64.000,0.474,0.032,66.000,0.489,0.032,3.000,0.022,0.024,1.000,0.007,0.091,1.000,0.007,0.016,53.000,0.393,0.033,69.000,0.511,0.030,7.000,0.052,0.031,3.000,0.022,0.125,3.000,0.022,0.022
MICHOACÁN,13.000,0.394,0.011,17.000,0.515,0.007,1.000,0.030,0.003,0.000,0.000,0.000,2.000,0.061,0.011,12.000,0.364,0.007,18.000,0.545,0.008,2.000,0.061,0.015,0.000,0.000,0.000,1.000,0.030,0.022,13.000,0.394,0.006,19.000,0.576,0.010,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.030,0.043,18.000,0.545,0.008,14.000,0.424,0.008,1.000,0.030,0.018,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.333,0.006,19.000,0.576,0.008,2.000,0.061,0.020,0.000,0.000,0.000,1.000,0.030,0.008,12.000,0.364,0.008,18.000,0.545,0.008,2.000,0.061,0.006,1.000,0.030,0.017,0.000,0.000,0.000,16.000,0.485,0.008,16.000,0.485,0.008,1.000,0.030,0.008,0.000,0.000,0.000,0.000,0.000,0.000,13.000,0.394,0.006,18.000,0.545,0.009,1.000,0.030,0.008,0.000,0.000,0.000,1.000,0.030,0.016,10.000,0.303,0.006,19.000,0.576,0.008,2.000,0.061,0.009,0.000,0.000,0.000,2.000,0.061,0.015
MORELOS,50.000,0.282,0.042,106.000,0.599,0.042,11.000,0.062,0.037,2.000,0.011,0.087,8.000,0.045,0.042,79.000,0.446,0.043,94.000,0.531,0.042,3.000,0.017,0.022,0.000,0.000,0.000,1.000,0.006,0.022,89.000,0.503,0.042,83.000,0.469,0.042,3.000,0.017,0.028,0.000,0.000,0.000,2.000,0.011,0.087,100.000,0.565,0.042,76.000,0.429,0.042,1.000,0.006,0.018,0.000,0.000,0.000,0.000,0.000,0.000,74.000,0.418,0.043,93.000,0.525,0.041,3.000,0.017,0.030,0.000,0.000,0.000,7.000,0.040,0.056,65.000,0.367,0.042,87.000,0.492,0.040,20.000,0.113,0.057,2.000,0.011,0.034,3.000,0.017,0.030,88.000,0.497,0.042,76.000,0.429,0.039,12.000,0.068,0.094,1.000,0.006,0.037,0.000,0.000,0.000,89.000,0.503,0.044,82.000,0.463,0.040,4.000,0.023,0.031,1.000,0.006,0.091,1.000,0.006,0.016,70.000,0.395,0.044,95.000,0.537,0.042,6.000,0.034,0.027,1.000,0.006,0.042,5.000,0.028,0.037
NAYARIT,41.000,0.272,0.034,90.000,0.596,0.035,11.000,0.073,0.037,0.000,0.000,0.000,9.000,0.060,0.048,66.000,0.437,0.036,78.000,0.517,0.035,5.000,0.033,0.037,0.000,0.000,0.000,2.000,0.013,0.044,86.000,0.570,0.040,58.000,0.384,0.029,6.000,0.040,0.057,0.000,0.000,0.000,1.000,0.007,0.043,89.000,0.589,0.038,61.000,0.404,0.034,1.000,0.007,0.018,0.000,0.000,0.000,0.000,0.000,0.000,60.000,0.397,0.035,83.000,0.550,0.036,2.000,0.013,0.020,1.000,0.007,0.091,5.000,0.033,0.040,57.000,0.377,0.037,80.000,0.530,0.036,7.000,0.046,0.020,3.000,0.020,0.052,4.000,0.026,0.040,67.000,0.444,0.032,77.000,0.510,0.039,3.000,0.020,0.024,1.000,0.007,0.037,3.000,0.020,0.100,75.000,0.497,0.037,70.000,0.464,0.034,4.000,0.026,0.031,0.000,0.000,0.000,2.000,0.013,0.033,59.000,0.391,0.037,80.000,0.530,0.035,5.000,0.033,0.022,1.000,0.007,0.042,6.000,0.040,0.045
